Unused bits: 12.66%

Nr.     Instruction                     Format                                                                                                                                
 2290   RES (rrr,rrr),(nnn,r),n,rrr     oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
 2291   RES (rrr,rrr),(nnn,rr),n,rrr    oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
 2292   RES (rrr,rrr),(nnn,rrr),n,rrr   oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
 2293   RES (rrr,rrr),(nnn),n,rrr       oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                                               
 2294   RES (rrr,rrr),(rrr,nnn),n,rrr   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF                                                      
 2295   RES (rrr,rrr),(rrr,r),n,rrr     oooooooo uuuAAAAA uuuBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                                        
 2296   RES (rrr,rrr),(rrr,rr),n,rrr    oooooooo uuuAAAAA uuuBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                                        
 2297   RES (rrr,rrr),(rrr,rrr),n,rrr   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                                        
 2298   RES (rrr,rrr),(rrr),n,rrr       oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
 2299   RES (rrr,rrr),fr                oooooooo uuuAAAAA uuuBBBBB uuuuCCCC                                                                                                   
 2300   RES (rrr,rrr),nnnn,n,nnn        oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD EEEEEEEE EEEEEEEE EEEEEEEE                                    
 2301   RES (rrr,rrr),nnnn,n            oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD                                                               
 2302   RES (rrr,rrr),r                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2303   RES (rrr,rrr),rr                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2304   RES (rrr,rrr),rrr               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2305   RES (rrr,rrr),rrrr              oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2306   RES (rrr),(nnn,nnn),n,rrr       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                             
 2307   RES (rrr),(nnn,r),n,rrr         oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
 2308   RES (rrr),(nnn,rr),n,rrr        oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
 2309   RES (rrr),(nnn,rrr),n,rrr       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
 2310   RES (rrr),(nnn),n,rrr           oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC uuuDDDDD                                                                        
 2311   RES (rrr),(rrr,nnn),n,rrr       oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                                               
 2312   RES (rrr),(rrr,r),n,rrr         oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
 2313   RES (rrr),(rrr,rr),n,rrr        oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
 2314   RES (rrr),(rrr,rrr),n,rrr       oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
 2315   RES (rrr),(rrr),n,rrr           oooooooo uuuAAAAA uuuBBBBB CCCCCCCC uuuDDDDD                                                                                          
 2316   RES (rrr),fr                    oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 2317   RES (rrr),nnnn,n,nnn            oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD                                             
 2318   RES (rrr),nnnn,n                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC                                                                        
 2319   RES (rrr),r                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2320   RES (rrr),rr                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2321   RES (rrr),rrr                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2322   RES (rrr),rrrr                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2323   RES fr,(nnn,nnn)                oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 2324   RES fr,(nnn,r)                  oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2325   RES fr,(nnn,rr)                 oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2326   RES fr,(nnn,rrr)                oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2327   RES fr,(nnn)                    oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 2328   RES fr,(rrr,nnn)                oooooooo uuuuAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 2329   RES fr,(rrr,r)                  oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2330   RES fr,(rrr,rr)                 oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2331   RES fr,(rrr,rrr)                oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2332   RES fr,(rrr)                    oooooooo uuuuAAAA uuuBBBBB                                                                                                            
 2333   RES fr,fr                       oooooooo uuuuAAAA uuuuBBBB                                                                                                            
 2334   RES fr,nnnn                     oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB                                                                                 
 2335   RES fr,r                        oooooooo uuuuAAAA uuuBBBBB                                                                                                            
 2336   RES fr,rr                       oooooooo uuuuAAAA uuuBBBBB                                                                                                            
 2337   RES fr,rrr                      oooooooo uuuuAAAA uuuBBBBB                                                                                                            
 2338   RES fr,rrrr                     oooooooo uuuuAAAA uuuBBBBB                                                                                                            
 2339   RES r,(nnn,nnn)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 2340   RES r,(nnn,r)                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2341   RES r,(nnn,rr)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2342   RES r,(nnn,rrr)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2343   RES r,(nnn)                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 2344   RES r,(rrr,nnn)                 oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 2345   RES r,(rrr,r)                   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2346   RES r,(rrr,rr)                  oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2347   RES r,(rrr,rrr)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2348   RES r,(rrr)                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2349   RES r,fr                        oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 2350   RES r,n                         oooooooo uuuAAAAA BBBBBBBB                                                                                                            
 2351   RES r,r                         oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2352   RES rr,(nnn,nnn)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 2353   RES rr,(nnn,r)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2354   RES rr,(nnn,rr)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2355   RES rr,(nnn,rrr)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2356   RES rr,(nnn)                    oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 2357   RES rr,(rrr,nnn)                oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 2358   RES rr,(rrr,r)                  oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2359   RES rr,(rrr,rr)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2360   RES rr,(rrr,rrr)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2361   RES rr,(rrr)                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2362   RES rr,fr                       oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 2363   RES rr,nn                       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB                                                                                                   
 2364   RES rr,r                        oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2365   RES rr,rr                       oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2366   RES rrr,(nnn,nnn)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 2367   RES rrr,(nnn,r)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2368   RES rrr,(nnn,rr)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2369   RES rrr,(nnn,rrr)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2370   RES rrr,(nnn)                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 2371   RES rrr,(rrr,nnn)               oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 2372   RES rrr,(rrr,r)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2373   RES rrr,(rrr,rr)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2374   RES rrr,(rrr,rrr)               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2375   RES rrr,(rrr)                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2376   RES rrr,fr                      oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 2377   RES rrr,nnn                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 2378   RES rrr,r                       oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2379   RES rrr,rr                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2380   RES rrr,rrr                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2381   RES rrrr,(nnn,nnn)              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 2382   RES rrrr,(nnn,r)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2383   RES rrrr,(nnn,rr)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2384   RES rrrr,(nnn,rrr)              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 2385   RES rrrr,(nnn)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 2386   RES rrrr,(rrr,nnn)              oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 2387   RES rrrr,(rrr,r)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2388   RES rrrr,(rrr,rr)               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2389   RES rrrr,(rrr,rrr)              oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 2390   RES rrrr,(rrr)                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 2391   RES rrrr,fr                     oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 2392   RES rrrr,nnnn                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB                                                                                 
 2393   RES rrrr,r                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
